Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Serious/critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests per 1M pop,Population,Continent
Bangladesh,"20,36,967","29,438","19,86,947","20,582","1,331","12,133",175,"1,51,28,286","90,111","16,78,85,689",Asia
Slovakia,"18,58,290","20,792","18,35,911","1,587",23,"3,40,334","3,808","73,69,030","13,49,591","54,60,193",Europe
Georgia,"18,08,085","16,895","17,76,548","14,642",,"4,55,582","4,257","1,69,20,079","42,63,340","39,68,738",Asia
Jordan,"17,46,997","14,122","17,31,007","1,868",59,"1,69,597","1,371","1,72,01,885","16,69,945","1,03,00,869",Asia
Ireland,"16,84,717","8,270","16,70,555","5,892",19,"3,35,588","1,647","1,28,98,022","25,69,225","50,20,199",Europe
Pakistan,"15,75,618","30,635","15,38,689","6,294",23,"6,866",133,"3,05,70,862","1,33,213","22,94,88,994",Asia
Norway,"14,72,878","4,571","14,64,989","3,318",20,"2,67,244",829,"1,10,02,430","19,96,315","55,11,370",Europe
Finland,"14,28,446","7,783","13,94,322","26,341",21,"2,57,148","1,401","1,18,99,068","21,42,062","55,54,960",Europe
Kazakhstan,"14,00,668","13,694","13,83,020","3,954",24,"72,932",713,"1,15,75,012","6,02,707","1,92,05,043",Asia
Slovenia,"12,93,699","6,976","12,59,932","26,791",26,"6,22,559","3,357","27,99,586","13,47,228","20,78,034",Europe
Bulgaria,"12,90,470","38,082","12,48,448","3,940",35,"1,88,538","5,564","1,08,75,737","15,88,952","68,44,597",Europe
Lithuania,"12,84,178","9,459","12,66,714","8,005",7,"4,82,464","3,554","1,02,94,110","38,67,483","26,61,708",Europe
Morocco,"12,71,017","16,294","12,53,979",744,293,"33,649",431,"1,28,20,856","3,39,421","3,77,72,756",Africa
Croatia,"12,60,293","17,483","12,40,066","2,744",15,"3,10,472","4,307","54,06,483","13,31,880","40,59,286",Europe
Lebanon,"12,21,791","10,743","10,87,587","1,23,461",74,"1,82,770","1,607","47,95,578","7,17,380","66,84,849",Asia
Guatemala,"11,87,909","19,986","11,42,046","25,877",5,"63,921","1,075","64,75,757","3,48,458","1,85,84,039",North America
Costa Rica,"11,52,466","9,051","8,60,711","2,82,704",52,"2,22,383","1,747","46,59,757","8,99,158","51,82,354",North America
Tunisia,"11,47,477","29,279",N/A,N/A,44,"95,253","2,430","49,82,453","4,13,596","1,20,46,656",Africa
Bolivia,"11,35,046","22,271","10,86,019","26,756",220,"94,645","1,857","27,05,422","2,25,590","1,19,92,656",South America
Cuba,"11,11,732","8,530","11,03,045",157,23,"98,334",754,"1,42,33,813","12,59,000","1,13,05,652",North America
UAE,"10,46,359","2,348","10,28,097","15,914",,"1,03,787",233,"19,77,62,706","1,96,15,842","1,00,81,785",Asia
Ecuador,"10,24,914","35,940","9,75,192","13,782",759,"56,583","1,984","30,82,403","1,70,173","1,81,13,361",South America
Panama,"10,20,961","8,554","10,05,646","6,761",16,"2,29,586","1,924","73,61,620","16,55,426","44,46,964",North America
Mongolia,"10,07,232","2,179","9,91,600","13,453",192,"2,98,167",645,"40,30,048","11,93,000","33,78,078",Asia
Uruguay,"10,02,988","7,552","9,90,837","4,599",18,"2,86,895","2,160","61,14,822","17,49,083","34,96,016",South America
Nepal,"10,00,959","12,019","9,88,921",19,,"33,116",398,"59,85,814","1,98,038","3,02,25,582",Asia
Belarus,"9,94,037","7,118","9,85,592","1,327",,"1,05,381",755,"1,36,46,641","14,46,722","94,32,800",Europe
Latvia,"9,71,857","6,139","9,50,319","15,399",3,"5,25,659","3,320","77,60,456","41,97,480","18,48,837",Europe
Saudi Arabia,"8,26,667","9,502","8,14,200","2,965",34,"23,062",265,"4,49,04,078","12,52,732","3,58,44,909",Asia
Azerbaijan,"8,25,527","9,997","8,14,944",586,,"80,147",971,"74,10,224","7,19,425","1,03,00,205",Asia
